source,authors,year,title,doi,page,volume,issue
"He, Q. et al. (2020) ‘Powdery Mildew Caused by Erysiphe sedi on Crassula capitella in China’, Plant Disease, 104(12), p. 3250. Available at: https://doi.org/10.1094/PDIS-06-20-1334-PDN.","He, Q. et al. ",2020,Powdery Mildew Caused by Erysiphe sedi on Crassula capitella in China,10.1094/PDIS-06-20-1334-PDN,3250,104,(12)
"Hébert, M., Beisner, B.E. and Maranger, R. (2016) ‘A compilation of quantitative functional traits for marine and freshwater crustacean zooplankton’, Ecology, 97(4), pp. 1081–1081. Available at: https://doi.org/10.1890/15-1275.1.","Hébert, M., Beisner, B.E. and Maranger, R. ",2016,A compilation of quantitative functional traits for marine and freshwater crustacean zooplankton,10.1890/15-1275.1,1081–1081,97,(4)
"Heinbokel, J.F. (1978) ‘Studies on the functional role of tintinnids in the Southern California Bight. I. Grazing and growth rates in laboratory cultures’, Marine Biology, 47(2), pp. 177–189. Available at: https://doi.org/10.1007/BF00395638.","Heinbokel, J.F. ",1978,Studies on the functional role of tintinnids in the Southern California Bight. I. Grazing and growth rates in laboratory cultures,10.1007/BF00395638,177–189,47,(2)
"Heiss, A.A., Walker, G. and Simpson, A.G.B. (2011) ‘The Ultrastructure of Ancyromonas, a Eukaryote without Supergroup Affinities’, Protist, 162(3), pp. 373–393. Available at: https://doi.org/10.1016/j.protis.2010.08.004.","Heiss, A.A., Walker, G. and Simpson, A.G.B. ",2011,"The Ultrastructure of Ancyromonas, a Eukaryote without Supergroup Affinities",10.1016/j.protis.2010.08.004,373–393,162,(3)
"Hepperle, D. et al. (1998) ‘Phylogenetic Position of the Phacotaceae Within the Chlamydophyceae as Revealed by Analysis of 18S rDNA and rbcL Sequences’, Journal of Molecular Evolution, 47(4), pp. 420–430. Available at: https://doi.org/10.1007/PL00006399.","Hepperle, D. et al. ",1998,Phylogenetic Position of the Phacotaceae Within the Chlamydophyceae as Revealed by Analysis of 18S rDNA and rbcL Sequences,10.1007/PL00006399,420–430,47,(4)
"Hernández, E. et al. (2020) ‘Clasificación de grupos morfofuncionales del fitoplancton en seis sistemas lénticos de las regiones Caribe, Andina y Amazónica de Colombia’, Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales, 44(171), pp. 392–406. Available at: https://doi.org/10.18257/raccefyn.1082.","Hernández, E. et al. ",2020,"Clasificación de grupos morfofuncionales del fitoplancton en seis sistemas lénticos de las regiones Caribe, Andina y Amazónica de Colombia",10.18257/raccefyn.1082,392–406,44,(171)
"Hernández-Restrepo, M. et al. (2019) ‘Re-evaluation of Mycoleptodiscus species and morphologically similar fungi’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 42(1), pp. 205–227. Available at: https://doi.org/10.3767/persoonia.2019.42.08.","Hernández-Restrepo, M. et al. ",2019,Re-evaluation of Mycoleptodiscus species and morphologically similar fungi,10.3767/persoonia.2019.42.08,205–227,42,(1)
"Herzig, A. (1983) ‘The ecological significance of the relationship between temperature and duration of embryonic development in planktonic freshwater copepods’, Hydrobiologia, 100(1), pp. 65–91. Available at: https://doi.org/10.1007/BF00027423.","Herzig, A. ",1983,The ecological significance of the relationship between temperature and duration of embryonic development in planktonic freshwater copepods,10.1007/BF00027423,65–91,100,(1)
"Herzig, A. and Auer, B. (1990) ‘The feeding behaviour of Leptodora kindti and its impact on the zooplankton community of Neusiedler See (Austria)’, Hydrobiologia, 198(1), pp. 107–117. Available at: https://doi.org/10.1007/BF00048627.","Herzig, A. and Auer, B. ",1990,The feeding behaviour of Leptodora kindti and its impact on the zooplankton community of Neusiedler See (Austria),10.1007/BF00048627,107–117,198,(1)
"Hess, S. and Melkonian, M. (2014) ‘Ultrastructure of the Algivorous Amoeboflagellate Viridiraptor invadens (Glissomonadida, Cercozoa)’, Protist, 165(5), pp. 605–635. Available at: https://doi.org/10.1016/j.protis.2014.07.004.","Hess, S. and Melkonian, M. ",2014,"Ultrastructure of the Algivorous Amoeboflagellate Viridiraptor invadens (Glissomonadida, Cercozoa)",10.1016/j.protis.2014.07.004,605–635,165,(5)
"Hess, S., Sausen, N. and Melkonian, M. (2012) ‘Shedding Light on Vampires: The Phylogeny of Vampyrellid Amoebae Revisited’, PLoS ONE. Edited by P.C.Y. Woo, 7(2), p. e31165. Available at: https://doi.org/10.1371/journal.pone.0031165.","Hess, S., Sausen, N. and Melkonian, M. ",2012,Shedding Light on Vampires: The Phylogeny of Vampyrellid Amoebae Revisited,10.1371/journal.pone.0031165,e31165,7,(2)
"Hewett, S.W. (1987) ‘Prey Size and Survivorship in Didinium nasutum (Ciliophora: Gymnostomatida)’, Transactions of the American Microscopical Society, 106(2), p. 134. Available at: https://doi.org/10.2307/3226310.","Hewett, S.W. ",1987,Prey Size and Survivorship in Didinium nasutum (Ciliophora: Gymnostomatida),10.2307/3226310,134,106,(2)
"Hilliard, D.K. (1968) ‘Tintinnidium ephemeridum n. sp. A new freshwater tintinnid from Alaska with notes on the algae attached to its test’, Hydrobiologia, 31(3–4), pp. 385–401. Available at: https://doi.org/10.1007/BF00134440.","Hilliard, D.K. ",1968,Tintinnidium ephemeridum n. sp. A new freshwater tintinnid from Alaska with notes on the algae attached to its test,10.1007/BF00134440,385–401,31,(3–4)
"Hinners, J., Kremp, A. and Hense, I. (2017) ‘Evolution in temperature-dependent phytoplankton traits revealed from a sediment archive: do reaction norms tell the whole story?’, Proceedings of the Royal Society B: Biological Sciences, 284(1864), p. 20171888. Available at: https://doi.org/10.1098/rspb.2017.1888.","Hinners, J., Kremp, A. and Hense, I. ",2017,Evolution in temperature-dependent phytoplankton traits revealed from a sediment archive: do reaction norms tell the whole story?,10.1098/rspb.2017.1888,20171888,284,(1864)
"Hoare, C.A. (1927) ‘Studies on Coprozoic Ciliates’, Parasitology, 19(2), pp. 154–222. Available at: https://doi.org/10.1017/S0031182000005618.","Hoare, C.A. ",1927,Studies on Coprozoic Ciliates,10.1017/S0031182000005618,154–222,19,(2)
"Hodhod, M.S. et al. (2012) ‘Amarenographium solium sp. nov. from Yanbu Mangroves in the Kingdom of Saudi Arabia’, Cryptogamie, Mycologie, 33(3), pp. 285–294. Available at: https://doi.org/10.7872/crym.v33.iss3.2012.285.","Hodhod, M.S. et al. ",2012,Amarenographium solium sp. nov. from Yanbu Mangroves in the Kingdom of Saudi Arabia,10.7872/crym.v33.iss3.2012.285,285–294,33,(3)
"Hoffmeyer, T.T. and Burkhardt, P. (2016) ‘Choanoflagellate models — Monosiga brevicollis and Salpingoeca rosetta’, Current Opinion in Genetics & Development, 39, pp. 42–47. Available at: https://doi.org/10.1016/j.gde.2016.05.016.","Hoffmeyer, T.T. and Burkhardt, P. ",2016,Choanoflagellate models — Monosiga brevicollis and Salpingoeca rosetta,10.1016/j.gde.2016.05.016,42–47,39,NA
"Hoham, R.W. et al. (2006) ‘Two new species of green snow algae from Upstate New York, Chloromonas chenangoensis sp. nov. and Chloromonas tughillensis sp. nov. (Volvocales, Chlorophyceae) and the effects of light on their life cycle development’, Phycologia, 45(3), pp. 319–330. Available at: https://doi.org/10.2216/04-103.1.","Hoham, R.W. et al. ",2006,"Two new species of green snow algae from Upstate New York, Chloromonas chenangoensis sp. nov. and Chloromonas tughillensis sp. nov. (Volvocales, Chlorophyceae) and the effects of light on their life cycle development",10.2216/04-103.1,319–330,45,(3)
"Hongsanan, S. et al. (2015) ‘Fungal Biodiversity Profiles 11–20’, Cryptogamie, Mycologie, 36(3), pp. 355–380. Available at: https://doi.org/10.7872/crym/v36.iss3.2015.355.","Hongsanan, S. et al. ",2015,Fungal Biodiversity Profiles 11–20,10.7872/crym/v36.iss3.2015.355,355–380,36,(3)
"Hopp, U. and Maier, G. (2005) ‘Implication of the feeding limb morphology for herbivorous feeding in some freshwater cyclopoid copepods’, Freshwater Biology, 50(5), pp. 742–747. Available at: https://doi.org/10.1111/j.1365-2427.2005.01362.x.","Hopp, U. and Maier, G. ",2005,Implication of the feeding limb morphology for herbivorous feeding in some freshwater cyclopoid copepods,10.1111/j.1365-2427.2005.01362.x,742–747,50,(5)
"Hoppenrath, M. et al. (2013) ‘Taxonomy and phylogeny of the benthic Prorocentrum species (Dinophyceae)—A proposal and review’, Harmful Algae, 27, pp. 1–28. Available at: https://doi.org/10.1016/j.hal.2013.03.006.","Hoppenrath, M. et al. ",2013,Taxonomy and phylogeny of the benthic Prorocentrum species (Dinophyceae)—A proposal and review,10.1016/j.hal.2013.03.006,1–28,27,NA
"Hoppenrath, M. and Leander, B.S. (2006) ‘Dinoflagellate, Euglenid, or Cercomonad? The Ultrastructure and Molecular Phylogenetic Position of Protaspis grandis n. sp.’, Journal of Eukaryotic Microbiology, 53(5), pp. 327–342. Available at: https://doi.org/10.1111/j.1550-7408.2006.00110.x.","Hoppenrath, M. and Leander, B.S. ",2006,"Dinoflagellate, Euglenid, or Cercomonad? The Ultrastructure and Molecular Phylogenetic Position of Protaspis grandis n. sp.",10.1111/j.1550-7408.2006.00110.x,327–342,53,(5)
"Horn, W. (1981) ‘Phytoplankton Losses due to Zooplankton Grazing in a Drinking Water Reservoir’, Internationale Revue der gesamten Hydrobiologie und Hydrographie, 66(6), pp. 787–810. Available at: https://doi.org/10.1002/iroh.19810660603.","Horn, W. ",1981,Phytoplankton Losses due to Zooplankton Grazing in a Drinking Water Reservoir,10.1002/iroh.19810660603,787–810,66,(6)
"Hou, L.W. et al. (2020) ‘The phoma-like dilemma’, Studies in Mycology, 96, pp. 309–396. Available at: https://doi.org/10.1016/j.simyco.2020.05.001.","Hou, L.W. et al. ",2020,The phoma-like dilemma,10.1016/j.simyco.2020.05.001,309–396,96,NA
"Howe, A.T. et al. (2011) ‘Novel Cultured Protists Identify Deep-branching Environmental DNA Clades of Cercozoa: New Genera Tremula, Micrometopion, Minimassisteria, Nudifila, Peregrinia’, Protist, 162(2), pp. 332–372. Available at: https://doi.org/10.1016/j.protis.2010.10.002.","Howe, A.T. et al. ",2011,"Novel Cultured Protists Identify Deep-branching Environmental DNA Clades of Cercozoa: New Genera Tremula, Micrometopion, Minimassisteria, Nudifila, Peregrinia",10.1016/j.protis.2010.10.002,332–372,162,(2)
"Hu, X., Warren, A. and Song, W. (2008) ‘Stomatogenesis and morphological re-description of the marine ciliate, Philasterides armatalis (Protozoa: Ciliophora: Scuticociliatida)’, Journal of the Marine Biological Association of the United Kingdom, 88(1), pp. 29–34. Available at: https://doi.org/10.1017/S0025315408000088.","Hu, X., Warren, A. and Song, W. ",2008,"Stomatogenesis and morphological re-description of the marine ciliate, Philasterides armatalis (Protozoa: Ciliophora: Scuticociliatida)",10.1017/S0025315408000088,29–34,88,(1)
"Huber, V. and Gaedke, U. (2006) ‘The role of predation for seasonal variability patterns among phytoplankton and ciliates’, Oikos, 114(2), pp. 265–276. Available at: https://doi.org/10.1111/j.2006.0030-1299.14753.x.","Huber, V. and Gaedke, U. ",2006,The role of predation for seasonal variability patterns among phytoplankton and ciliates,10.1111/j.2006.0030-1299.14753.x,265–276,114,(2)
"Hudson, O. et al. (2019) ‘Multilocus phylogeny of Acrospermaceae: New epibiotic species and placement of Gonatophragmium, Pseudovirgaria , and Phaeodactylium anamorphs’, Mycologia, 111(6), pp. 1041–1055. Available at: https://doi.org/10.1080/00275514.2019.1668905.","Hudson, O. et al. ",2019,"Multilocus phylogeny of Acrospermaceae: New epibiotic species and placement of Gonatophragmium, Pseudovirgaria , and Phaeodactylium anamorphs",10.1080/00275514.2019.1668905,1041–1055,111,(6)
"Hughart, R. et al. (2016) ‘Cutaneous phaeohyphomycosis caused by Biatriospora mackinnonii in a renal transplant recipient’, JAAD Case Reports, 2(3), pp. 230–232. Available at: https://doi.org/10.1016/j.jdcr.2016.03.015.","Hughart, R. et al. ",2016,Cutaneous phaeohyphomycosis caused by Biatriospora mackinnonii in a renal transplant recipient,10.1016/j.jdcr.2016.03.015,230–232,2,(3)
"Hunter, G.C. et al. (2009) ‘Teratosphaeria nubilosa , a serious leaf disease pathogen of Eucalyptus spp. in native and introduced areas’, Molecular Plant Pathology, 10(1), pp. 1–14. Available at: https://doi.org/10.1111/j.1364-3703.2008.00516.x.","Hunter, G.C. et al. ",2009,"Teratosphaeria nubilosa , a serious leaf disease pathogen of Eucalyptus spp. in native and introduced areas",10.1111/j.1364-3703.2008.00516.x,1–14,10,(1)
"Huszar, V., Kruk, C. and Caraco, N. (2003) ‘Steady-state assemblages of phytoplankton in four temperate lakes (NE U.S.A.)’, Hydrobiologia, 502(1–3), pp. 97–109. Available at: https://doi.org/10.1023/B:HYDR.0000004273.40488.00.","Huszar, V., Kruk, C. and Caraco, N. ",2003,Steady-state assemblages of phytoplankton in four temperate lakes (NE U.S.A.),10.1023/B:HYDR.0000004273.40488.00,97–109,502,(1–3)
"Huszar, V.L.M. et al. (2000) ‘Cyanoprokaryote assemblages in eight productive tropical Brazilian waters’, in C.S. Reynolds, M. Dokulil, and J. Padisák (eds) The Trophic Spectrum Revisited. Dordrecht: Springer Netherlands, pp. 67–77. Available at: https://doi.org/10.1007/978-94-017-3488-2_6.","Huszar, V.L.M. et al. ",2000,Cyanoprokaryote assemblages in eight productive tropical Brazilian waters,10.1007/978-94-017-3488-2_6,67–77,NA,NA
"Ichinomiya, M. et al. (2011) ‘ISOLATION AND CHARACTERIZATION OF PARMALES (HETEROKONTA/HETEROKONTOPHYTA/STRAMENOPILES) FROM THE OYASHIO REGION, WESTERN NORTH PACIFIC 1’, Journal of Phycology, 47(1), pp. 144–151. Available at: https://doi.org/10.1111/j.1529-8817.2010.00926.x.","Ichinomiya, M. et al. ",2011,"ISOLATION AND CHARACTERIZATION OF PARMALES (HETEROKONTA/HETEROKONTOPHYTA/STRAMENOPILES) FROM THE OYASHIO REGION, WESTERN NORTH PACIFIC 1",10.1111/j.1529-8817.2010.00926.x,144–151,47,(1)
"Ignatiades, L. and Fogg, G.E. (1973) ‘Studies on the Factors Affecting the Release of Organic Matter By Skeletonema Costatum (Greville) Cleve in Culture’, Journal of the Marine Biological Association of the United Kingdom, 53(4), pp. 937–956. Available at: https://doi.org/10.1017/S0025315400022591.","Ignatiades, L. and Fogg, G.E. ",1973,Studies on the Factors Affecting the Release of Organic Matter By Skeletonema Costatum (Greville) Cleve in Culture,10.1017/S0025315400022591,937–956,53,(4)
"Inacio, J. et al. (2005) ‘Phylloplane yeasts from Portugal: Seven novel anamorphic species in the Tremellales lineage of the Hymenomycetes (Basidiomycota) producing orange-coloured colonies’, FEMS Yeast Research, 5(12), pp. 1167–1183. Available at: https://doi.org/10.1016/j.femsyr.2005.05.007.","Inacio, J. et al. ",2005,Phylloplane yeasts from Portugal: Seven novel anamorphic species in the Tremellales lineage of the Hymenomycetes (Basidiomycota) producing orange-coloured colonies,10.1016/j.femsyr.2005.05.007,1167–1183,5,(12)
"Isla, J.A., Lengfellner, K. and Sommer, U. (2008) ‘Physiological response of the copepod Pseudocalanus sp. in the Baltic Sea at different thermal scenarios’, Global Change Biology, 14(4), pp. 895–906. Available at: https://doi.org/10.1111/j.1365-2486.2008.01531.x.","Isla, J.A., Lengfellner, K. and Sommer, U. ",2008,Physiological response of the copepod Pseudocalanus sp. in the Baltic Sea at different thermal scenarios,10.1111/j.1365-2486.2008.01531.x,895–906,14,(4)
"Iummato, M.M. et al. (2019) ‘Effect of glyphosate on the growth, morphology, ultrastructure and metabolism of Scenedesmus vacuolatus’, Ecotoxicology and Environmental Safety, 172, pp. 471–479. Available at: https://doi.org/10.1016/j.ecoenv.2019.01.083.","Iummato, M.M. et al. ",2019,"Effect of glyphosate on the growth, morphology, ultrastructure and metabolism of Scenedesmus vacuolatus",10.1016/j.ecoenv.2019.01.083,471–479,172,NA
"Izaguirre, I. et al. (2015) ‘Which environmental factors trigger the dominance of phytoplankton species across a moisture gradient of shallow lakes?’, Hydrobiologia, 752(1), pp. 47–64. Available at: https://doi.org/10.1007/s10750-014-2007-1.","Izaguirre, I. et al. ",2015,Which environmental factors trigger the dominance of phytoplankton species across a moisture gradient of shallow lakes?,10.1007/s10750-014-2007-1,47–64,752,(1)
"Izaguirre, I. et al. (2016) ‘Drivers of phytoplankton diversity in Patagonian and Antarctic lakes across a latitudinal gradient (2150 km): the importance of spatial and environmental factors’, Hydrobiologia, 764(1), pp. 157–170. Available at: https://doi.org/10.1007/s10750-015-2269-2.","Izaguirre, I. et al. ",2016,Drivers of phytoplankton diversity in Patagonian and Antarctic lakes across a latitudinal gradient (2150 km): the importance of spatial and environmental factors,10.1007/s10750-015-2269-2,157–170,764,(1)
